name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
East Moline Correctional Center,https://en.wikipedia.org/wiki/East_Moline_Correctional_Center,"100 Hillcrest Road East Moline, Illinois",minimum,minimum,minimum,1452,1452,1126,1126,April 2020,1980,1980,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Jacksonville Correctional Center,https://en.wikipedia.org/wiki/Jacksonville_Correctional_Center,"2268 E Morton Avenue Jacksonville, Illinois",minimum,minimum,minimum,1628,1628,953,953,April 2020,"October, 1984",1984,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Lincoln Correctional Center,https://en.wikipedia.org/wiki/Lincoln_Correctional_Center,"1098 1350th Street Lincoln, Illinois",minimum,minimum,minimum,1019,1019,978,978,April 2020,1984,1984,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Robinson Correctional Center,https://en.wikipedia.org/wiki/Robinson_Correctional_Center,"13423 E 1150th Avenue Robinson, Illinois",minimum,minimum,minimum,1223,1223,1047,1047,April 2020,1991,1991,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Taylorville Correctional Center,https://en.wikipedia.org/wiki/Taylorville_Correctional_Center,"1144 IL-29 Taylorville, Illinois",minimum,minimum,minimum,1221,1221,1002,1002,April 2020,1990,1990,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Vandalia Correctional Center,https://en.wikipedia.org/wiki/Vandalia_Correctional_Center,"US Hwy 51 North Vandalia, Illinois",medium,minimum,minimum,1200,1200,1063,1063,April 2020,1921,1921,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Vienna Correctional Center,https://en.wikipedia.org/wiki/Vienna_Correctional_Center,"6695 State Route 146 East Vienna, Illinois",medium,minimum,minimum,1963,1963,888,888,April 2020,1965,1965,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Edinburgh Correctional Facility,https://en.wikipedia.org/wiki/Edinburgh_Correctional_Facility,"Camp Atterbury, Edinburgh, Indiana, United States",Operational,Minimum,minimum,320,320,338,338,April 2020,"Built in 1985, addition in 1988, renamed in 1991",1985,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,,,,
Heritage Trail Correctional Facility,https://en.wikipedia.org/wiki/Heritage_Trail_Correctional_Facility,"501 W. Main Street Plainfield, Indiana",open,minimum,minimum,827,827,865,865,April 2020,2014,2014,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,GEO Group,,,
Anamosa State Penitentiary,https://en.wikipedia.org/wiki/Anamosa_State_Penitentiary,"N. High St. Anamosa, Iowa",,minimum,minimum,911,911,957,957,May 2020,1875-1899,1875,https://doc.iowa.gov/daily-statistics,,,,1875-1899,
Hutchinson Correctional Facility,https://en.wikipedia.org/wiki/Hutchinson_Correctional_Facility,"500 Reformatory Street Hutchinson, Kansas",open,low,minimum,1784,1784,1862,1862,May 2020,1895,1895,https://www.doc.ks.gov/publications/pop/POP%2005-21-2020.pdf/view,,Kansas Department of Corrections,,,
Boston Pre-Release Center,https://en.wikipedia.org/wiki/Boston_Pre-Release_Center,"Roslindale, Massachusetts",Operational,Minimum/ Pre-Release,minimum,151,150,,,,2003,2003,,,Massachusetts Department of Correction,Superintendent Michael Devine,,
Northeastern Correctional Center,https://en.wikipedia.org/wiki/Northeastern_Correctional_Center,"Barretts Mill Road West Concord, Massachusetts",Operational,Minimum/Pre-Release,minimum,150,150,,,,1932,1932,,,Massachusetts Department of Correction,Deputy Superintendent Greg McCann,,
Pondville Correctional Center,https://en.wikipedia.org/wiki/Pondville_Correctional_Center,"Norfolk, Massachusetts",Operational,Minimum/ Pre-Release,minimum,100,100,,,,,,,,Massachusetts Department of Correction,Superintendent Pamela MacEachern,,
South Middlesex Correctional Center,https://en.wikipedia.org/wiki/South_Middlesex_Correctional_Center,"Framingham, Massachusetts",Operational,Minimum/Pre-Release,minimum,126,125,,,,1976,1976,,,Massachusetts Department of Correction,Superintendent Lisa Jackson,,
Cooper Street Correctional Facility,https://en.wikipedia.org/wiki/Cooper_Street_Correctional_Facility,"3100 Cooper Street Jackson, Michigan",open,minimum,minimum,1752,1602,1456,1456,May 2020,July 1997,1997,"Changed the cap
Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Ojibway Correctional Facility - CLOSED,https://en.wikipedia.org/wiki/Ojibway_Correctional_Facility,"N 5705 Ojibway Road Marenisco Township, Michigan",open,minimum,minimum,1180,1180,,,,1971,1971,CLOSED,,Michigan Department of Corrections,,,
Parnall Correctional Facility,https://en.wikipedia.org/wiki/Parnall_Correctional_Facility,"1780 E Parnall Road Jackson, Michigan",open,minimum,minimum,1696,1679,1370,1370,May 2020,1926,1926,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
West Shoreline Correctional Facility - CLOSED,https://en.wikipedia.org/wiki/West_Shoreline_Correctional_Facility,,Closed,Secure Level I,minimum,,,,,,1987,1987,CLOSED,,Michigan Department of Corrections,,,
Red Wing (Adult),https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_Red_Wing,"Red Wing, Minnesota",,minium,minimum,42,42,45,45,January 2020,,,https://mn.gov/doc/assets/Adult%20Prison%20Population%20Summary%201-1-2020_tcm1089-418232.pdf,,,,,
Red Wing (Juvenile),https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_Red_Wing,"Red Wing, Minnesota",,minium,minimum,219,219,,,,,,https://mn.gov/doc/assets/Juvenile_Population_1_1_20_tcm1089-430020.pdf,,,,,
Charles E. Johnson Correctional Center,https://en.wikipedia.org/wiki/Charles_E._Johnson_Correctional_Center,,Operational,Minimum,minimum,650,584,"750 (as of March 7, 2016[1])",393,2020,1995,1995,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
William S. Key Correctional Center,https://en.wikipedia.org/wiki/William_S._Key_Correctional_Center,"1 William S. Key Blvd Fort Supply, Oklahoma",minimum,,minimum,1087,1072,,890,2020,1988,1988,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
"Mill Creek Correctional Facility, Salem",https://en.wikipedia.org/wiki/Mill_Creek_Correctional_Facility,"Salem, Oregon, United States",Operational,Minimum security,minimum,,,,280,2020,,,Couldn't find capacity. Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections,,,
State Correctional Institution – Cambridge Springs,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Cambridge_Springs,"Cambridge Springs, Crawford County, Pennsylvania",,Minimum-Security,minimum,1018,1236,"1,072 (as of June 30, 2015)",1070,2020,"March, 1992",1992,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Laurel Highlands,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Laurel_Highlands,"Somerset Township, Somerset County, Pennsylvania",Open,Minimum-Security,minimum,,1500,,1316,2020,1996,1996,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
Olympic Corrections Center,https://en.wikipedia.org/wiki/Olympic_Corrections_Center,Forks,Operational,Minimum,minimum,381,381,,372,2020,1968,1968,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Brockbridge Correctional Facility,https://en.wikipedia.org/wiki/Brockbridge_Correctional_Facility,"7930 Brock Bridge Road Jessup, Maryland",Closed,Minimum Security,minimum,,,,,,1966,1966,,,Maryland Department of Public Safety and Correctional Services,,,
Pugsley Correctional Facility - CLOSED,https://en.wikipedia.org/wiki/Pugsley_Correctional_Facility,"Fife Lake Township,Grand Traverse County,near Kingsley, Michigan",Closed,Minimum (Level I),minimum,1342,1342,,,,1956,1956,CLOSED,,Michigan Department of Corrections,Daniel Heyns,,
Boonville Correctional Center,https://en.wikipedia.org/wiki/Boonville_Correctional_Center,"1216 East Morgan Street Boonville, Missouri",open,minimum,minimum,1316,1316,,,,1983,1983,,,Missouri Department of Corrections,,,
Kansas City Reentry Center,https://en.wikipedia.org/wiki/Kansas_City_Reentry_Center,"651 Mulberry Street Kansas City, Missouri",open,minimum,minimum,430,430,,,,2015,2015,,,Missouri Department of Corrections,,,
Maryville Treatment Center,https://en.wikipedia.org/wiki/Maryville_Treatment_Center,"Maryville, Missouri",open,minimum,minimum,561,561,,,,1996,1996,,,Missouri Department of Corrections,,,
Shea Farm Halfway House,https://en.wikipedia.org/wiki/Shea_Farm_Halfway_House,"60 Iron Works Road Concord, New Hampshire",Operational,minimum security,minimum,40,40,,,,1973,1973,,,New Hampshire Department of Corrections,,,
Davis Correctional Facility,https://en.wikipedia.org/wiki/Davis_Correctional_Facility,"E W 133 Road Holdenville, Oklahoma",open,medium/maximum,mixed,1600,1600,,NA,,1996,1996,,,Corrections Corporation of America,,,
Easterling Correctional Facility,https://en.wikipedia.org/wiki/Easterling_Correctional_Facility,"200 Wallace Drive Clio, Alabama",open,mixed,mixed,1267,1100,1104,1104,January 2020,1990,1990,changed the cap,,Alabama Department of Corrections,,,
"Federal Correctional Institution, Aliceville","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Aliceville","Pickens County, Alabama",Operational,Medium security (with minimum security prison camp),mixed,1400,1400,1375,1375,2020,2013,2013,changed the population according to bop.gov site,,Federal Bureau of Prisons,,,
"Federal Correctional Institution, Talladega","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Talladega","Talladega, Alabama",Operational,Medium-security (with minimum-security prison camp),mixed,1400,1400,910,910,May 2020,1979,1979,,,Federal Bureau of Prisons,,,
St. Clair Correctional Facility,https://en.wikipedia.org/wiki/St._Clair_Correctional_Facility,"1000 St Clair Road Springville, Alabama",open,"mixed, including maximum",mixed,1514,1705,885,885,January 2020,1983,1983,changed the cap,,Alabama Department of Corrections,,,
Arizona State Prison – Kingman,https://en.wikipedia.org/wiki/Arizona_State_Prison_%E2%80%93_Kingman,"Mohave County, Arizona",open,mixed,mixed,3508,3508,3119,3119,April 2020,2004,2004,,,GEO Group,,,
Arizona State Prison Complex – Douglas,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Douglas,"Douglas, Arizona",open,mixed,mixed,2148,2196,2112,2112,April 2020,1984,1984,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Eyman,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Eyman,"Florence, Arizona",closed,mixed,mixed,4549,5777,5588,5588,April 2020,1991,1991,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Florence,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Florence,"Florence, Arizona",open,mixed,mixed,3946,3981,3544,3544,April 2020,1908,1908,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Lewis,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Lewis,"Buckeye, Arizona",open,mixed,mixed,4397,5974,4531,4531,April 2020,,,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Perryville,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Perryville,"Goodyear, Arizona",open,mixed,mixed,2382,4335,4037,4037,April 2020,1981,1981,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Phoenix,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Phoenix,"Phoenix, Arizona",open,mixed,mixed,1042,720,781,781,April 2020,1979,1979,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Safford,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Safford,"Safford, Arizona",open,mixed,mixed,1717,1869,1613,1613,April 2020,1968,1968,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Tucson,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Tucson,"10000 South Wilmot RoadTucson, Arizona 85734",Operational,ASPC-Tucson is a minimum to high security prison.,mixed,4930,5093,"4,902[1] (as of August 17, 2010)",4860,April 2020,January 1978,1978,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Winslow,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Winslow,"Winslow, Arizona",open,mixed,mixed,1928,1842,1320,1320,April 2020,,,changed the cap,,Arizona Department of Corrections,,,
Arizona State Prison Complex – Yuma,https://en.wikipedia.org/wiki/Arizona_State_Prison_Complex_%E2%80%93_Yuma,"San Luis, Arizona",open,mixed,mixed,2245,4770,4862,4862,April 2020,1987,1987,changed the cap,,Arizona Department of Corrections,Charles L. Ryan,,
"United States Penitentiary, Tucson","https://en.wikipedia.org/wiki/United_States_Penitentiary,_Tucson","Tucson, Arizona",Operational,High-security (with minimum-security prison camp),mixed,392,NA,"1,580 (136 in prison camp)",1464,2020,2007[1],2007,changed the cap,,Federal Bureau of Prisons,,,
Grimes Unit,https://en.wikipedia.org/wiki/Grimes_Unit,"300 Corrections Drive Newport, Arkansas",Open,,Mixed,1012,1012,1076,1076,April 2020,1998,1998,https://www.nwahomepage.com/news/a-closer-look/a-closer-look-prison-population-and-covid-19/,,Arkansas Department of Corrections,,,
McPherson Unit,https://en.wikipedia.org/wiki/McPherson_Unit,"Newport, Arkansas",open,mixed,mixed,971,971,996,996,April 2020,1998,1998,https://www.nwahomepage.com/news/a-closer-look/a-closer-look-prison-population-and-covid-19/,,Arkansas Department of Correction,,,
Avenal State Prison (ASP),https://en.wikipedia.org/wiki/Avenal_State_Prison,"Avenal, California, U.S.",Operational,Minimum-medium,mixed,2920,2920,"4,197 (143.7% capacity) (as of April 30, 2020[1])",4170,May 2020,January 1987,1987,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
California City Correctional Facility (CAC),https://en.wikipedia.org/wiki/California_City_Correctional_Facility,"22844 Virginia Blvd California City, California",open,Level II (low-medium),mixed,2304,2304,"2,081 (90.3% capacity) (as of April 30, 2020[1])",2081,?,2006,2006,,,California Department of Corrections and Rehabilitation,,,
California Correctional Institution (CCI),https://en.wikipedia.org/wiki/California_Correctional_Institution,"Tehachapi, California",Operational,Minimum to Supermax,mixed,2783,2783,"3,350 (120.4%) (as of March 1, 2018[1])",3494,May 2020,1954 (original California Institution for Women existed on same site 1932–1952),1954,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
California Institution for Men (CIM),https://en.wikipedia.org/wiki/California_Institution_for_Men,"Chino, California",Operational,minimum to maximum,mixed,2976,2976,"3,357 (112.8% capacity)[1] (as of April 30, 2020)",3336,May 2020,21 June 1941,1941,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
California Institution for Women (CIW),https://en.wikipedia.org/wiki/California_Institution_for_Women,"Corona, California",Operational,Minimum to medium,mixed,1398,1398,"1,553 (111.1% capacity) (as of April 30, 2020[1])",1534,May 2020,1952,1952,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
California Medical Facility (CMF),https://en.wikipedia.org/wiki/California_Medical_Facility,"Vacaville, California",Operational,Minimum to medium,mixed,2361,2361,"2,396 (101.5% capacity) (as of April 30, 2020[1])",2382,May 2020,1955,1955,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
California Men's Colony (CMC),https://en.wikipedia.org/wiki/California_Men%27s_Colony,"San Luis Obispo County,near San Luis Obispo, California",Operational,Minimum to medium (With Maximum on Override),mixed,3838,3838,"3,727 (97.1% capacity) (as of April 30, 2020[1])",3718,May 2020,1954,1954,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
"California State Prison, Corcoran (COR)","https://en.wikipedia.org/wiki/California_State_Prison,_Corcoran","Corcoran, California",Operational,Minimum–maximum,mixed,3116,3116,"3,719 (119.4% capacity) (as of April 30, 2020[1])",3700,May 2020,February 1988,1988,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
"California State Prison, Los Angeles County (LAC)","https://en.wikipedia.org/wiki/California_State_Prison,_Los_Angeles_County","Lancaster, California",Operational,Minimum-maximum,mixed,2300,2300,"3,158 (137.3% capacity) (as of April 30, 2020[1])",3159,May 2020,February 1993,1993,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
"California State Prison, Sacramento (SAC)","https://en.wikipedia.org/wiki/California_State_Prison,_Sacramento","Folsom, California",Operational,Minimum-maximum,mixed,1828,1828,"2,363 (129.3% capacity) (as of April 30, 2020[1])",2352,May 2020,October 1986,1986,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
"California Substance Abuse Treatment Facility and State Prison, Corcoran (SATF)","https://en.wikipedia.org/wiki/California_Substance_Abuse_Treatment_Facility_and_State_Prison,_Corcoran","Corcoran, California",Operational,Medium-maximum,mixed,3424,3424,"4,844 (141.5%) (as of April 30, 2020[1])",4824,May 2020,August 1997,1997,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Calipatria State Prison (CAL),https://en.wikipedia.org/wiki/Calipatria_State_Prison,"Calipatria, California",Operational,Minimum-maximum,mixed,2308,2308,"2,935 (127.2% capacity) (as of April 30, 2020[1])",2924,May 2020,1992,1992,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Central California Women's Facility (CCWF),https://en.wikipedia.org/wiki/Central_California_Women%27s_Facility,"Chowchilla, California",Operational,Minimum-maximum,mixed,2004,2004,"2,640 (131.7% capacity) (as of April 30, 2020[1])",2635,May 2020,October 1990,1990,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Correctional Training Facility (CTF),https://en.wikipedia.org/wiki/Correctional_Training_Facility,"Soledad, Monterey County, California, U.S.",Operational,Minimum–medium,mixed,3312,3312,"4,801 (145.0% capacity) (as of April 30, 2020[1])",4772,May 2020,1946,1946,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
"Federal Correctional Institution, Victorville","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Victorville","Victorville, California",Operational,Medium-security (with low-security female prison camp),mixed,NA,,"1,300 (300 in prison camp)",1268,2020,2004,2004,https://www.bop.gov/locations/institutions/vvm/,,Federal Bureau of Prisons,,,
Folsom State Prison (FSP),https://en.wikipedia.org/wiki/Folsom_State_Prison,"Folsom, California, U.S.",Operational,Minimum-medium,mixed,2469,2469,"2,694 men (130.4% capacity), 276 women 68.5% (capacity) (as of April 30, 2020[1])",2896,May 2020,"July 26, 1880; 139 years ago",1880,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Ironwood State Prison (ISP),https://en.wikipedia.org/wiki/Ironwood_State_Prison,"Riverside County,near Blythe, California",Operational,Minimum-medium,mixed,2200,2200,"3,203 (145.6% capacity) (as of April 30, 2020[1])",3191,May 2020,1 February 1994,1994,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Pleasant Valley State Prison (PVSP),https://en.wikipedia.org/wiki/Pleasant_Valley_State_Prison,"Coalinga, California",Operational,Minimum to maximum,mixed,2308,2308,"3,062 (132.7% capacity) (as of April 30, 2020[1])",3051,May 2020,November 1994,1994,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
San Quentin State Prison (SQ),https://en.wikipedia.org/wiki/San_Quentin_State_Prison,"San Quentin, California, U.S.",Operational,Minimum–maximum,mixed,3082,3082,"3,776 (122.5%) (as of April 30, 2020[1])",3751,May 2020,"July 1852, 168 years ago",1852,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Arkansas Valley Correctional Facility,https://en.wikipedia.org/wiki/Arkansas_Valley_Correctional_Facility,"12750 Highway 96 Ordway, Colorado",open,mixed,mixed,1007,1007,1041,1041,April 2020,1987,1987,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
Buena Vista Correctional Facility,https://en.wikipedia.org/wiki/Buena_Vista_Correctional_Facility,"15125 US-24 Buena Vista, Colorado",open,mixed,mixed,1259,1259,1167,1167,April 2020,1892 (as Colorado State Reformatory); 1978 (as adult prison),1892,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
Colorado Territorial Correctional Facility,https://en.wikipedia.org/wiki/Colorado_Territorial_Correctional_Facility,"Cañon City, Colorado",open,mixed,mixed,900,929,771,771,April 2020,1871,1871,"Coloradto Territorial Fac and Fac Inf combined:
https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view",,Colorado Department of Corrections,,,
Fremont Correctional Facility,https://en.wikipedia.org/wiki/Fremont_Correctional_Facility,"E US Highway 50 Evans Blvd Cañon City, Colorado",open,"close, medium, minimum",mixed,1661,1661,1570,1570,April 2020,1962,1962,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
LaVista Correctional Facility,https://en.wikipedia.org/wiki/La_Vista_Correctional_Facility,"1401 W 17th Street Pueblo, Colorado",open,mixed,mixed,564,564,539,539,April 2020,partially open April 2006,2006,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
Limon Correctional Facility,"https://en.wikipedia.org/wiki/Limon_Correctional_Facility,_Colorado","49030 CO-71 Limon, Colorado",open,"mixed, including maximum",mixed,960,960,907,907,April 2020,1991,1991,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
San Carlos Correctional Facility,https://en.wikipedia.org/wiki/San_Carlos_Correctional_Facility,"1503 Hood Avenue Pueblo, Colorado",open,mixed,mixed,250,250,200,200,April 2020,1995,1995,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
Corrigan-Radgowski Correctional Center,https://en.wikipedia.org/wiki/Corrigan-Radgowski_Correctional_Center,"986 Norwich-New London Turnpike Uncasville, Connecticut",open,mixed,mixed,1586,1586,674,674,May 2020,1994,1994,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,,,
MacDougall-Walker Correctional Institution,https://en.wikipedia.org/wiki/MacDougall-Walker_Correctional_Institution,"1153 East Street South Suffield, Connecticut",Open,Mixed,mixed,2049,2049,1457,1457,May 2020,2001,2001,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,,,
York Correctional Institution,https://en.wikipedia.org/wiki/York_Correctional_Institution,"201 W Main Street Niantic, Connecticut",open,mixed,mixed,1151,1151,731,731,May 2020,1918; reopened October 1994,1918,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,,,
James T. Vaughn Correctional Center (formerly Delaware Correctional Center),https://en.wikipedia.org/wiki/James_T._Vaughn_Correctional_Center,"Smyrna, Delaware",Open,"maximum, medium, and minimum",mixed,2600,2600,1749,1749,2019,1971,1971,"Website has no pop info for 2020
https://doc.delaware.gov/assets/documents/annual_report/DOC_2019AnnualReport.pdf",,Delaware Department of Correction,,,
Sussex Correctional Institution,https://en.wikipedia.org/wiki/Sussex_Correctional_Institution,"23203 Dupont Blvd Georgetown, Delaware",open,"maximum, medium, and minimum",mixed,1206,1206,1019,1019,2019,1931,1931,"Website has no pop info for 2020
https://doc.delaware.gov/assets/documents/annual_report/DOC_2019AnnualReport.pdf",,Delaware Department of Correction,,,
"Apalachee Correctional Institution, East Unit","https://en.wikipedia.org/wiki/Apalachee_Correctional_Institution,_East_Unit","52 W Unit Drive Sneads, Florida",mixed,mixed,mixed,1322,1169,1139,1139,April 2020,1949,1949,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Baker Correctional Institution,https://en.wikipedia.org/wiki/Baker_Correctional_Institution,"20706 U.S. Highway 90 West Sanderson, Florida",mixed,mixed,mixed,1165,1165,1084,1084,April 2020,1978,1978,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
Bay Correctional Facility,https://en.wikipedia.org/wiki/Bay_Correctional_Facility,"5400 Bayline Drive Panama City, Florida",mixed,mixed,mixed,985,985,942,942,April 2020,1995,1995,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,GEO Group (since 2014),,,
Blackwater River Correctional Facility,https://en.wikipedia.org/wiki/Blackwater_River_Correctional_Facility,"5914 Jeff Ates Road Milton, Florida",mixed,mixed,mixed,2000,2000,1900,1900,April 2020,2010,2010,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,GEO Group,,,
Calhoun Correctional Institution,https://en.wikipedia.org/wiki/Calhoun_Correctional_Institution,"19562 Southeast Institution Drive #1 Blountstown, Florida",mixed,mixed,mixed,1354,1354,1319,1319,April 2020,1984,1984,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
